,CustomerID,Count,City,Zip Code,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason,Satisfaction Score,Churn Category,Avg Monthly GB Download,Unlimited Data,Total Long Distance Charges,Referred a Friend,Number of Referrals,Age,Under 30,Population
20,9191-MYQKX,1,Lynwood,90262,Female,0,1,1,7,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),75.15,496.9,Yes,1,70,3457,Service dissatisfaction,1,Dissatisfaction,53,1,60.83,1,1,34,0,
21,8637-XJIVR,1,Marina Del Rey,90292,Female,0,0,1,12,1,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,78.95,927.35,Yes,1,86,5806,Lack of self-service on Website,1,Attitude,56,0,304.08,0,0,34,0,
22,0278-YXOOG,1,Inglewood,90301,Male,0,0,0,5,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,21.05,113.85,Yes,1,66,2604,Network reliability,3,Attitude,0,0,171.29999999999998,0,0,30,0,
23,4598-XLKNJ,1,Inglewood,90303,Female,1,1,1,25,1,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,98.5,2514.5,Yes,1,88,5337,Limited range of services,2,Dissatisfaction,12,1,494.00000000000006,1,1,78,0,
24,3192-NQECA,1,Santa Monica,90403,Male,0,1,0,68,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),110.0,7611.85,Yes,1,86,5034,Lack of affordable download/upload speed,2,Competitor,47,1,1005.7199999999999,1,4,26,1,
25,0486-HECZI,1,Torrance,90504,Male,0,1,1,55,1,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,96.75,5238.9,Yes,1,75,5154,Long distance charges,1,Price,27,1,2698.3,0,0,37,0,
26,4846-WHAFZ,1,Whittier,90602,Female,1,1,1,37,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,76.5,2868.15,Yes,1,67,2793,Extra data charges,2,Price,14,1,234.21,1,1,80,0,
27,5299-RULOA,1,Whittier,90606,Female,0,1,1,10,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,100.25,1064.65,Yes,1,87,5998,Price too high,2,Price,30,1,244.8,1,1,62,0,
28,0404-SWRVG,1,La Habra,90631,Male,0,0,1,3,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.4,229.55,Yes,1,76,4415,Product dissatisfaction,1,Dissatisfaction,71,1,43.8,0,0,21,1,
29,4412-YLTKF,1,Pico Rivera,90660,Female,1,0,1,27,1,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,78.05,2135.5,Yes,1,95,4638,Service dissatisfaction,1,Competitor,18,0,89.91,0,0,72,0,
30,6207-WIOLX,1,Avalon,90704,Female,0,1,0,25,0,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),58.6,1502.65,Yes,1,99,4190,Lack of self-service on Website,1,Attitude,48,1,0.0,1,6,27,1,
31,3091-FYHKI,1,Harbor City,90710,Male,0,0,0,1,0,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,35.45,35.45,Yes,1,80,2301,Network reliability,3,Dissatisfaction,22,1,0.0,0,0,64,0,
32,2372-HWUHI,1,Lakewood,90712,Male,0,0,0,2,1,No,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,44.35,81.25,Yes,1,76,2570,Don't know,3,Other,3,1,93.68,0,0,45,0,
33,0390-DCFDQ,1,Los Alamitos,90720,Female,1,1,1,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,70.45,70.45,Yes,1,76,3964,Don't know,2,Other,30,1,15.28,1,1,76,0,
34,4080-OGPJL,1,San Pedro,90731,Female,0,0,0,8,1,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,0,Electronic check,71.15,563.65,Yes,1,66,2662,Don't know,1,Other,18,1,385.12,0,0,53,0,
35,2135-RXIHG,1,Carson,90745,Male,0,0,0,1,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,45.65,45.65,Yes,1,73,2600,Poor expertise of online support,1,Competitor,24,1,14.12,0,0,63,0,
36,3874-EQOEP,1,Long Beach,90804,Male,0,0,1,7,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,0,Mailed check,95.0,655.5,Yes,1,94,2786,Poor expertise of phone support,1,Competitor,28,0,143.64,0,0,32,0,
37,0867-MKZVY,1,Altadena,91001,Female,0,1,1,20,1,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Electronic check,82.4,1592.35,Yes,1,86,5719,Price too high,1,Price,51,1,732.0,1,5,26,1,
38,3376-BMGFE,1,Monrovia,91016,Female,0,0,1,4,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),70.9,273,Yes,1,75,4287,Product dissatisfaction,1,Dissatisfaction,27,1,134.0,0,0,42,0,
39,3445-HXXGF,1,Sierra Madre,91024,Male,1,1,0,58,0,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,1,Electronic check,45.3,2651.2,Yes,1,100,5444,Service dissatisfaction,1,Dissatisfaction,24,1,0.0,1,6,66,0,
40,1875-QIVME,1,Tujunga,91042,Female,0,1,1,2,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,104.4,242.8,Yes,1,83,4690,Lack of self-service on Website,3,Attitude,53,1,23.02,1,1,26,1,
41,0691-JVSYA,1,Pasadena,91103,Female,0,1,0,53,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,1,Bank transfer (automatic),94.85,5000.2,Yes,1,80,4328,Network reliability,1,Competitor,73,1,2152.8599999999997,1,5,24,1,
42,2656-FMOKZ,1,Pasadena,91106,Female,1,0,1,15,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,74.45,1145.7,Yes,1,99,5717,Limited range of services,2,Dissatisfaction,19,1,661.05,0,0,70,0,
43,2070-FNEXE,1,Pasadena,91107,Female,1,0,1,7,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),76.45,503.6,Yes,1,81,4419,Lack of affordable download/upload speed,2,Price,18,0,188.65,0,0,77,0,
44,6317-YPKDH,1,Glendale,91202,Female,0,0,0,1,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,0,Bank transfer (automatic),29.95,29.95,Yes,1,95,4534,Long distance charges,1,Competitor,27,1,0.0,0,0,54,0,
45,9367-WXLCH,1,Glendale,91204,Male,0,0,1,8,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Bank transfer (automatic),84.5,662.65,Yes,1,86,2152,Extra data charges,2,Price,19,1,205.84,0,0,51,0,
46,1918-ZBFQJ,1,Glendale,91206,Female,0,0,1,13,1,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Electronic check,79.25,1111.65,Yes,1,73,5142,Price too high,1,Competitor,76,1,436.02,0,0,48,0,
47,1024-GUALD,1,Glendale,91207,Female,0,1,0,1,0,No phone service,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,24.8,24.8,Yes,1,94,4851,Product dissatisfaction,1,Dissatisfaction,29,1,0.0,1,4,29,1,
48,2472-OVKUP,1,Canoga Park,91304,Male,0,1,1,6,1,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Electronic check,91.0,531,Yes,1,94,2283,Service dissatisfaction,2,Dissatisfaction,29,1,252.48,1,5,39,0,
49,1285-OKIPP,1,Mission Hills,91345,Male,0,0,1,1,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Electronic check,79.9,79.9,Yes,1,98,3394,Lack of self-service on Website,2,Attitude,21,1,23.2,0,0,62,0,
50,7825-ECJRF,1,Santa Clarita,91350,Female,0,0,1,19,1,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,106.6,1934.45,Yes,1,71,3764,Network reliability,1,Dissatisfaction,19,0,538.65,0,0,43,0,
51,7841-TZDMQ,1,Sun Valley,91352,Male,0,0,0,2,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),46.0,84.5,Yes,1,76,2667,Don't know,3,Other,41,1,99.62,0,0,19,1,
52,9408-SSNVZ,1,Stevenson Ranch,91381,Female,0,0,1,4,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.15,268.35,Yes,1,67,2227,Don't know,2,Other,17,1,117.6,0,0,39,0,
53,0742-MOABM,1,Panorama City,91402,Male,0,1,0,4,1,No,DSL,No,No,No,Yes,No,No,Month-to-month,0,Mailed check,50.05,179.35,Yes,1,82,3394,Don't know,2,Competitor,22,1,38.68,1,2,50,0,
54,2232-DMLXU,1,Van Nuys,91411,Female,0,1,0,1,1,No,DSL,No,No,No,No,Yes,No,Month-to-month,0,Mailed check,55.2,55.2,Yes,1,81,3638,Poor expertise of online support,2,Dissatisfaction,58,1,35.6,0,0,22,1,
55,8937-RDTHP,1,Burbank,91504,Male,0,0,1,1,1,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,1,Mailed check,84.6,84.6,Yes,1,66,2484,Poor expertise of phone support,2,Dissatisfaction,11,1,26.85,0,0,40,0,
56,1251-KRREG,1,North Hollywood,91601,Male,0,0,0,2,1,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,1,Mailed check,54.4,114.1,Yes,1,81,2556,Price too high,3,Price,73,1,88.62,0,0,22,1,
57,0094-OIFMO,1,North Hollywood,91605,Female,1,0,1,11,1,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.0,1120.3,Yes,1,85,5980,Product dissatisfaction,1,Dissatisfaction,29,0,127.49,0,0,78,0,
58,9947-OTFQU,1,Covina,91722,Male,1,0,0,15,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,74.4,1074.3,Yes,1,86,4616,Service dissatisfaction,1,Competitor,29,1,436.65,0,0,65,0,
59,0322-YINQP,1,Covina,91723,Male,0,0,0,1,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Mailed check,48.55,48.55,Yes,1,77,5687,Lack of self-service on Website,1,Attitude,9,1,11.35,0,0,37,0,
60,4629-NRXKX,1,El Monte,91731,Female,0,1,0,2,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Electronic check,70.4,147.15,Yes,1,75,5687,Network reliability,1,Dissatisfaction,21,1,92.46,1,1,47,0,
61,9514-JDSKI,1,El Monte,91732,Male,1,1,0,1,0,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,0,Electronic check,40.2,40.2,Yes,1,65,5828,Limited range of services,2,Dissatisfaction,12,1,0.0,1,1,77,0,
62,4959-JOSRX,1,La Puente,91744,Female,0,1,0,2,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),44.6,80.55,Yes,1,99,4884,Lack of affordable download/upload speed,2,Price,16,1,60.38,1,3,41,0,
63,7273-TEFQD,1,La Puente,91746,Male,1,0,0,3,0,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,41.15,132.2,Yes,1,96,2314,Long distance charges,2,Price,28,1,0.0,0,0,67,0,
64,3606-TWKGI,1,Rowland Heights,91748,Male,1,0,0,13,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,106.9,1364.3,Yes,1,84,2494,Extra data charges,1,Competitor,11,0,424.84,0,0,68,0,
65,6323-AYBRX,1,Ontario,91762,Male,0,0,0,59,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.35,1099.6,Yes,1,83,5084,Price too high,3,Price,0,0,1571.1699999999998,0,0,51,0,
66,4385-GZQXV,1,Ontario,91764,Female,1,0,0,16,1,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,94.45,1511.2,Yes,1,81,3810,Product dissatisfaction,1,Competitor,9,1,150.88,0,0,68,0,
67,6366-ZGQGL,1,Pomona,91766,Male,0,0,0,1,0,No phone service,DSL,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),24.8,24.8,Yes,1,73,5087,Service dissatisfaction,2,Dissatisfaction,29,1,0.0,0,0,60,0,
68,5940-AHUHD,1,Pomona,91768,Male,0,0,0,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Mailed check,70.6,70.6,Yes,1,69,3338,Lack of self-service on Website,2,Attitude,41,1,44.59,0,0,30,0,
69,6432-TWQLB,1,Rosemead,91770,Male,0,1,0,5,1,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,1,Electronic check,85.4,401.1,Yes,1,80,3676,Network reliability,3,Dissatisfaction,16,1,211.45,1,1,51,0,
70,4484-GLZOU,1,San Dimas,91773,Female,0,1,0,52,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,105.05,5624.85,Yes,1,65,4839,Don't know,2,Other,48,1,550.68,1,6,20,1,
71,9512-UIBFX,1,West Covina,91791,Male,0,1,0,18,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,0,Mailed check,95.15,1779.95,Yes,1,68,4643,Don't know,3,Other,28,1,27.18,1,6,52,0,
72,5583-SXDAG,1,Alhambra,91803,Male,0,1,0,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Electronic check,70.0,70,Yes,1,97,4094,Don't know,3,Other,18,0,19.15,1,1,41,0,
73,3488-PGMQJ,1,Alpine,91901,Male,1,0,0,8,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,74.5,606.55,Yes,1,80,4345,Poor expertise of online support,2,Dissatisfaction,7,1,14.24,0,0,66,0,
74,3580-REOAC,1,Bonita,91902,Male,0,0,0,10,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),44.85,435.4,Yes,1,83,4061,Poor expertise of phone support,2,Competitor,17,1,495.79999999999995,0,0,34,0,
75,7534-BFESC,1,Boulevard,91905,Male,1,0,0,24,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,76.1,1712.7,Yes,1,98,2018,Price too high,2,Competitor,15,1,740.88,0,0,69,0,
76,6390-DSAZX,1,Guatay,91931,Female,0,0,0,1,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Mailed check,73.6,73.6,Yes,1,80,2565,Product dissatisfaction,1,Competitor,52,1,6.19,0,0,21,1,
77,8098-LLAZX,1,Jacumba,91934,Female,1,0,0,4,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.45,396.1,Yes,1,85,3677,Service dissatisfaction,3,Competitor,2,1,126.44,0,0,74,0,
78,0265-EDXBD,1,Mount Laguna,91948,Male,1,1,0,32,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.9,2303.35,Yes,1,69,4105,Lack of self-service on Website,2,Attitude,10,1,1514.88,1,2,76,0,
79,7563-BIUPC,1,Borrego Springs,92004,Male,0,0,0,5,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,80.6,415.55,Yes,1,69,5715,Network reliability,2,Competitor,52,0,28.900000000000002,0,0,30,0,
80,2321-OMBXY,1,Carlsbad,92009,Female,0,1,0,38,1,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,0,Credit card (automatic),80.3,3058.65,Yes,1,81,2071,Limited range of services,1,Other,19,1,1601.32,1,1,55,0,
81,2840-XANRC,1,Del Mar,92014,Male,1,1,0,24,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,93.15,2231.05,Yes,1,73,2212,Lack of affordable download/upload speed,2,Competitor,12,1,386.40000000000003,1,1,77,0,
82,5020-ZSTTY,1,El Cajon,92020,Female,1,0,0,54,1,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,0,Bank transfer (automatic),82.45,4350.1,Yes,1,83,4149,Long distance charges,1,Competitor,5,1,652.32,0,0,70,0,
83,5804-LEPIM,1,Escondido,92029,Female,1,0,0,2,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.35,139.05,Yes,1,73,2671,Extra data charges,3,Other,10,1,26.34,0,0,74,0,
84,0122-OAHPZ,1,Oceanside,92057,Female,0,0,0,7,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,73.85,511.25,Yes,1,67,2473,Price too high,3,Competitor,26,1,200.34,0,0,29,1,
85,2868-SNELZ,1,Pala,92059,Female,0,0,0,2,1,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,0,Mailed check,80.6,155.8,Yes,1,92,2683,Product dissatisfaction,1,Competitor,20,1,10.64,0,0,54,0,
86,4322-RCYMT,1,Palomar Mountain,92060,Male,0,1,0,68,1,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,1,Bank transfer (automatic),75.8,5293.95,Yes,1,81,4903,Service dissatisfaction,3,Competitor,18,0,1984.24,1,1,63,0,
87,6680-NENYN,1,Pauma Valley,92061,Female,0,0,0,43,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,1,Electronic check,104.6,4759.85,Yes,1,91,5250,Lack of self-service on Website,1,Competitor,59,1,553.84,0,0,24,1,
88,1343-EHPYB,1,Ranchita,92066,Male,0,1,0,63,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,103.4,6603,Yes,1,98,4352,Network reliability,2,Competitor,13,1,3083.8500000000004,1,2,61,0,
89,2034-GDRCN,1,Valley Center,92082,Female,0,0,0,2,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,90.4,168.2,Yes,1,76,4157,Don't know,3,Other,8,1,21.06,0,0,47,0,
90,0219-YTZUE,1,San Diego,92103,Male,0,1,0,4,1,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),84.8,371.9,Yes,1,73,4939,Don't know,3,Competitor,19,1,115.08,1,5,26,1,
91,0623-IIHUG,1,San Diego,92104,Female,1,0,0,21,0,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,1,Electronic check,41.9,840.1,Yes,1,97,4778,Don't know,1,Competitor,8,1,0.0,0,0,77,0,
92,4572-DVCGN,1,San Diego,92105,Female,0,0,0,10,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Bank transfer (automatic),80.25,846,Yes,1,85,3598,Poor expertise of online support,3,Competitor,11,1,271.0,0,0,40,0,
93,9057-MSWCO,1,San Diego,92108,Male,1,1,0,27,0,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,0,Credit card (automatic),30.75,805.1,Yes,1,91,2927,Poor expertise of phone support,1,Competitor,13,0,0.0,0,0,71,0,
94,1010-DIAUQ,1,San Diego,92116,Male,0,0,0,5,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,0,Bank transfer (automatic),96.5,492.55,Yes,1,98,5383,Price too high,3,Competitor,8,1,104.3,0,0,54,0,
95,0259-GBZSH,1,San Diego,92122,Male,0,0,0,2,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,85.65,181.5,Yes,1,73,3878,Product dissatisfaction,1,Competitor,27,1,80.86,0,0,22,1,
96,9601-BRXPO,1,San Diego,92129,Female,0,1,0,25,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),104.95,2566.5,Yes,1,66,3642,Service dissatisfaction,3,Competitor,10,1,222.75,1,1,48,0,
97,6905-NIQIN,1,San Diego,92154,Male,0,0,0,1,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,0,Mailed check,50.65,50.65,Yes,1,76,2431,Don't know,1,Competitor,59,1,14.78,0,0,26,1,
98,5167-ZFFMM,1,Indio,92201,Male,0,0,0,1,1,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,1,Credit card (automatic),90.85,90.85,Yes,1,81,3424,Network reliability,3,Competitor,24,1,8.56,0,0,64,0,
99,4895-TMWIR,1,Indian Wells,92210,Male,1,1,0,11,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.95,214.75,Yes,1,80,5888,Limited range of services,1,Competitor,0,0,324.94,1,1,79,0,
100,0533-BNWKF,1,Palm Desert,92211,Female,1,1,0,55,1,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Electronic check,85.45,4874.7,Yes,1,100,5502,Lack of affordable download/upload speed,1,Competitor,27,0,2355.1,1,2,66,0,
101,6599-CEBNN,1,Desert Hot Springs,92240,Female,0,0,0,34,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Credit card (automatic),73.95,2524.45,Yes,1,94,5795,Long distance charges,3,Competitor,14,1,52.7,0,0,63,0,
102,0979-PHULV,1,Holtville,92250,Male,0,1,0,69,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),99.45,7007.6,Yes,1,80,4020,Extra data charges,3,Competitor,26,1,3367.2,1,2,30,0,
103,4800-VHZKI,1,Niland,92257,Female,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.9,19.9,Yes,1,92,3351,Price too high,3,Competitor,0,0,36.63,0,0,59,0,
